Training Data Percentage,Train Time,Test Time
0.01,0.000890970230103,0.000491857528687
0.03,0.000808954238892,0.000470876693726
0.05,0.000930070877075,0.000468969345093
0.07,0.00102210044861,0.000500917434692
0.09,0.00113797187805,0.000460863113403
0.11,0.0011990070343,0.000454187393188
0.13,0.00128698348999,0.000473022460938
0.15,0.00137686729431,0.00044322013855
0.17,0.00147104263306,0.000473976135254
0.19,0.00157403945923,0.000433921813965
0.21,0.00165009498596,0.000458955764771
0.23,0.00171184539795,0.000444173812866
0.25,0.00181078910828,0.000415086746216
0.27,0.00191807746887,0.000411987304688
0.29,0.00195789337158,0.000397205352783
0.31,0.00201106071472,0.000385046005249
0.33,0.00208497047424,0.000375986099243
0.35,0.00215411186218,0.000379085540771
0.37,0.00222706794739,0.00036096572876
0.39,0.00232887268066,0.000357151031494
0.41,0.00237393379211,0.000349044799805
0.43,0.00245213508606,0.000342845916748
0.45,0.00253200531006,0.000334024429321
0.47,0.0025999546051,0.000328063964844
0.49,0.00266599655151,0.000325918197632
0.51,0.00277090072632,0.000313997268677
0.53,0.00280785560608,0.000303983688354
0.55,0.00290584564209,0.000302076339722
0.57,0.00293803215027,0.000289916992188
0.59,0.00304293632507,0.000282049179077
0.61,0.00311398506165,0.000278949737549
0.63,0.00316596031189,0.000267028808594
0.65,0.00325202941895,0.000259876251221
0.67,0.00331282615662,0.000250101089478
0.69,0.00340008735657,0.000242948532104
0.71,0.00348901748657,0.000240087509155
0.73,0.00353407859802,0.000227928161621
0.75,0.00360918045044,0.000224828720093
0.77,0.00372409820557,0.000216007232666
0.79,0.00376296043396,0.000214099884033
0.81,0.00385999679565,0.00019907951355
0.83,0.00391602516174,0.000195026397705
0.85,0.00400185585022,0.000180959701538
0.87,0.00406217575073,0.00017786026001
0.89,0.00414705276489,0.000169038772583
0.91,0.00420188903809,0.000159025192261
0.93,0.00424695014954,0.000146150588989
0.95,0.00431799888611,0.000140905380249
0.97,0.00441002845764,0.000173091888428
0.99,0.00459408760071,0.000128984451294
